N°        MODEL           OUTPUT_SIZE     NEURONS         NUM_REFS        MODEL_SIZE      METHOD          THRESHOLD       PROBABILITY     TIME(ns)        RESULT         
1          0               2               256             0               2167816         BEST            0.50            0.000167        5659            NO             
1          0               2               256             0               2167816         BEST            0.55            0.000167        5659            NO             
1          0               2               256             0               2167816         BEST            0.60            0.000167        5659            NO             
1          0               2               256             0               2167816         BEST            0.65            0.000167        5659            NO             
1          0               2               256             0               2167816         BEST            0.70            0.000167        5659            NO             
1          0               2               256             0               2167816         BEST            0.75            0.000167        5659            NO             
1          0               2               256             0               2167816         BEST            0.80            0.000167        5659            NO             
1          0               2               256             0               2167816         BEST            0.85            0.000167        5659            NO             
1          0               2               256             0               2167816         BEST            0.90            0.000167        5659            NO             
1          0               2               256             0               2167816         BEST            0.95            0.000167        5659            NO             
11         0               2               256             0               2167816         BEST            0.50            0.000006        3215            NO             
1          0               2               256             0               2167816         BEST            0.55            0.000006        3215            NO             
1          0               2               256             0               2167816         BEST            0.60            0.000006        3215            NO             
1          0               2               256             0               2167816         BEST            0.65            0.000006        3215            NO             
1          0               2               256             0               2167816         BEST            0.70            0.000006        3215            NO             
1          0               2               256             0               2167816         BEST            0.75            0.000006        3215            NO             
1          0               2               256             0               2167816         BEST            0.80            0.000006        3215            NO             
1          0               2               256             0               2167816         BEST            0.85            0.000006        3215            NO             
1          0               2               256             0               2167816         BEST            0.90            0.000006        3215            NO             
1          0               2               256             0               2167816         BEST            0.95            0.000006        3215            NO             
21         0               2               256             0               2167816         BEST            0.50            0.000365        3205            NO             
1          0               2               256             0               2167816         BEST            0.55            0.000365        3205            NO             
1          0               2               256             0               2167816         BEST            0.60            0.000365        3205            NO             
1          0               2               256             0               2167816         BEST            0.65            0.000365        3205            NO             
1          0               2               256             0               2167816         BEST            0.70            0.000365        3205            NO             
1          0               2               256             0               2167816         BEST            0.75            0.000365        3205            NO             
1          0               2               256             0               2167816         BEST            0.80            0.000365        3205            NO             
1          0               2               256             0               2167816         BEST            0.85            0.000365        3205            NO             
1          0               2               256             0               2167816         BEST            0.90            0.000365        3205            NO             
1          0               2               256             0               2167816         BEST            0.95            0.000365        3205            NO             
31         0               2               256             0               2167816         BEST            0.50            0.028877        3254            NO             
1          0               2               256             0               2167816         BEST            0.55            0.028877        3254            NO             
1          0               2               256             0               2167816         BEST            0.60            0.028877        3254            NO             
1          0               2               256             0               2167816         BEST            0.65            0.028877        3254            NO             
1          0               2               256             0               2167816         BEST            0.70            0.028877        3254            NO             
1          0               2               256             0               2167816         BEST            0.75            0.028877        3254            NO             
1          0               2               256             0               2167816         BEST            0.80            0.028877        3254            NO             
1          0               2               256             0               2167816         BEST            0.85            0.028877        3254            NO             
1          0               2               256             0               2167816         BEST            0.90            0.028877        3254            NO             
1          0               2               256             0               2167816         BEST            0.95            0.028877        3254            NO             
41         0               2               256             0               2167816         BEST            0.50            0.000144        3204            NO             
1          0               2               256             0               2167816         BEST            0.55            0.000144        3204            NO             
1          0               2               256             0               2167816         BEST            0.60            0.000144        3204            NO             
1          0               2               256             0               2167816         BEST            0.65            0.000144        3204            NO             
1          0               2               256             0               2167816         BEST            0.70            0.000144        3204            NO             
1          0               2               256             0               2167816         BEST            0.75            0.000144        3204            NO             
1          0               2               256             0               2167816         BEST            0.80            0.000144        3204            NO             
1          0               2               256             0               2167816         BEST            0.85            0.000144        3204            NO             
1          0               2               256             0               2167816         BEST            0.90            0.000144        3204            NO             
1          0               2               256             0               2167816         BEST            0.95            0.000144        3204            NO             
51         0               2               256             0               2167816         BEST            0.50            0.000011        4457            NO             
1          0               2               256             0               2167816         BEST            0.55            0.000011        4457            NO             
1          0               2               256             0               2167816         BEST            0.60            0.000011        4457            NO             
1          0               2               256             0               2167816         BEST            0.65            0.000011        4457            NO             
1          0               2               256             0               2167816         BEST            0.70            0.000011        4457            NO             
1          0               2               256             0               2167816         BEST            0.75            0.000011        4457            NO             
1          0               2               256             0               2167816         BEST            0.80            0.000011        4457            NO             
1          0               2               256             0               2167816         BEST            0.85            0.000011        4457            NO             
1          0               2               256             0               2167816         BEST            0.90            0.000011        4457            NO             
1          0               2               256             0               2167816         BEST            0.95            0.000011        4457            NO             
61         0               2               256             0               2167816         BEST            0.50            0.000013        3262            NO             
1          0               2               256             0               2167816         BEST            0.55            0.000013        3262            NO             
1          0               2               256             0               2167816         BEST            0.60            0.000013        3262            NO             
1          0               2               256             0               2167816         BEST            0.65            0.000013        3262            NO             
1          0               2               256             0               2167816         BEST            0.70            0.000013        3262            NO             
1          0               2               256             0               2167816         BEST            0.75            0.000013        3262            NO             
1          0               2               256             0               2167816         BEST            0.80            0.000013        3262            NO             
1          0               2               256             0               2167816         BEST            0.85            0.000013        3262            NO             
1          0               2               256             0               2167816         BEST            0.90            0.000013        3262            NO             
1          0               2               256             0               2167816         BEST            0.95            0.000013        3262            NO             
71         0               2               256             0               2167816         BEST            0.50            0.005807        3223            NO             
1          0               2               256             0               2167816         BEST            0.55            0.005807        3223            NO             
1          0               2               256             0               2167816         BEST            0.60            0.005807        3223            NO             
1          0               2               256             0               2167816         BEST            0.65            0.005807        3223            NO             
1          0               2               256             0               2167816         BEST            0.70            0.005807        3223            NO             
1          0               2               256             0               2167816         BEST            0.75            0.005807        3223            NO             
1          0               2               256             0               2167816         BEST            0.80            0.005807        3223            NO             
