N°        MODEL           OUTPUT_SIZE     NEURONS         NUM_REFS        MODEL_SIZE      METHOD          THRESHOLD       PROBABILITY     TIME(ns)        RESULT         
1          0               2               256             0               2167816         BEST            0.50            0.999728        -994929         OK             
1          0               2               256             0               2167816         BEST            0.55            0.999728        -994929         OK             
1          0               2               256             0               2167816         BEST            0.60            0.999728        -994929         OK             
1          0               2               256             0               2167816         BEST            0.65            0.999728        -994929         OK             
1          0               2               256             0               2167816         BEST            0.70            0.999728        -994929         OK             
1          0               2               256             0               2167816         BEST            0.75            0.999728        -994929         OK             
1          0               2               256             0               2167816         BEST            0.80            0.999728        -994929         OK             
1          0               2               256             0               2167816         BEST            0.85            0.999728        -994929         OK             
1          0               2               256             0               2167816         BEST            0.90            0.999728        -994929         OK             
1          0               2               256             0               2167816         BEST            0.95            0.999728        -994929         OK             
11         0               2               256             0               2167816         BEST            0.50            0.999998        3616            OK             
1          0               2               256             0               2167816         BEST            0.55            0.999998        3616            OK             
1          0               2               256             0               2167816         BEST            0.60            0.999998        3616            OK             
1          0               2               256             0               2167816         BEST            0.65            0.999998        3616            OK             
1          0               2               256             0               2167816         BEST            0.70            0.999998        3616            OK             
1          0               2               256             0               2167816         BEST            0.75            0.999998        3616            OK             
1          0               2               256             0               2167816         BEST            0.80            0.999998        3616            OK             
1          0               2               256             0               2167816         BEST            0.85            0.999998        3616            OK             
1          0               2               256             0               2167816         BEST            0.90            0.999998        3616            OK             
1          0               2               256             0               2167816         BEST            0.95            0.999998        3616            OK             
21         0               2               256             0               2167816         BEST            0.50            0.999503        3225            OK             
1          0               2               256             0               2167816         BEST            0.55            0.999503        3225            OK             
1          0               2               256             0               2167816         BEST            0.60            0.999503        3225            OK             
1          0               2               256             0               2167816         BEST            0.65            0.999503        3225            OK             
1          0               2               256             0               2167816         BEST            0.70            0.999503        3225            OK             
1          0               2               256             0               2167816         BEST            0.75            0.999503        3225            OK             
1          0               2               256             0               2167816         BEST            0.80            0.999503        3225            OK             
1          0               2               256             0               2167816         BEST            0.85            0.999503        3225            OK             
1          0               2               256             0               2167816         BEST            0.90            0.999503        3225            OK             
1          0               2               256             0               2167816         BEST            0.95            0.999503        3225            OK             
31         0               2               256             0               2167816         BEST            0.50            0.999862        3255            OK             
1          0               2               256             0               2167816         BEST            0.55            0.999862        3255            OK             
1          0               2               256             0               2167816         BEST            0.60            0.999862        3255            OK             
1          0               2               256             0               2167816         BEST            0.65            0.999862        3255            OK             
1          0               2               256             0               2167816         BEST            0.70            0.999862        3255            OK             
1          0               2               256             0               2167816         BEST            0.75            0.999862        3255            OK             
1          0               2               256             0               2167816         BEST            0.80            0.999862        3255            OK             
1          0               2               256             0               2167816         BEST            0.85            0.999862        3255            OK             
1          0               2               256             0               2167816         BEST            0.90            0.999862        3255            OK             
1          0               2               256             0               2167816         BEST            0.95            0.999862        3255            OK             
41         0               2               256             0               2167816         BEST            0.50            0.996961        3192            OK             
1          0               2               256             0               2167816         BEST            0.55            0.996961        3192            OK             
1          0               2               256             0               2167816         BEST            0.60            0.996961        3192            OK             
1          0               2               256             0               2167816         BEST            0.65            0.996961        3192            OK             
1          0               2               256             0               2167816         BEST            0.70            0.996961        3192            OK             
1          0               2               256             0               2167816         BEST            0.75            0.996961        3192            OK             
1          0               2               256             0               2167816         BEST            0.80            0.996961        3192            OK             
