N°        MODEL           OUTPUT_SIZE     NEURONS         NUM_REFS        MODEL_SIZE      METHOD          THRESHOLD       PROBABILITY     TIME(ns)        RESULT         
1          0               2               256             0               2167816         BEST            0.50            0.999698        5026            OK             
1          0               2               256             0               2167816         BEST            0.55            0.999698        5026            OK             
1          0               2               256             0               2167816         BEST            0.60            0.999698        5026            OK             
1          0               2               256             0               2167816         BEST            0.65            0.999698        5026            OK             
1          0               2               256             0               2167816         BEST            0.70            0.999698        5026            OK             
1          0               2               256             0               2167816         BEST            0.75            0.999698        5026            OK             
1          0               2               256             0               2167816         BEST            0.80            0.999698        5026            OK             
1          0               2               256             0               2167816         BEST            0.85            0.999698        5026            OK             
1          0               2               256             0               2167816         BEST            0.90            0.999698        5026            OK             
1          0               2               256             0               2167816         BEST            0.95            0.999698        5026            OK             
11         0               2               256             0               2167816         BEST            0.50            0.955725        3238            OK             
1          0               2               256             0               2167816         BEST            0.55            0.955725        3238            OK             
1          0               2               256             0               2167816         BEST            0.60            0.955725        3238            OK             
1          0               2               256             0               2167816         BEST            0.65            0.955725        3238            OK             
1          0               2               256             0               2167816         BEST            0.70            0.955725        3238            OK             
1          0               2               256             0               2167816         BEST            0.75            0.955725        3238            OK             
1          0               2               256             0               2167816         BEST            0.80            0.955725        3238            OK             
1          0               2               256             0               2167816         BEST            0.85            0.955725        3238            OK             
1          0               2               256             0               2167816         BEST            0.90            0.955725        3238            OK             
1          0               2               256             0               2167816         BEST            0.95            0.955725        3238            OK             
21         0               2               256             0               2167816         BEST            0.50            0.763360        3218            OK             
1          0               2               256             0               2167816         BEST            0.55            0.763360        3218            OK             
1          0               2               256             0               2167816         BEST            0.60            0.763360        3218            OK             
1          0               2               256             0               2167816         BEST            0.65            0.763360        3218            OK             
1          0               2               256             0               2167816         BEST            0.70            0.763360        3218            OK             
1          0               2               256             0               2167816         BEST            0.75            0.763360        3218            OK             
1          0               2               256             0               2167816         BEST            0.80            0.763360        3218            NO             
1          0               2               256             0               2167816         BEST            0.85            0.763360        3218            NO             
1          0               2               256             0               2167816         BEST            0.90            0.763360        3218            NO             
1          0               2               256             0               2167816         BEST            0.95            0.763360        3218            NO             
31         0               2               256             0               2167816         BEST            0.50            0.545073        3238            OK             
1          0               2               256             0               2167816         BEST            0.55            0.545073        3238            NO             
1          0               2               256             0               2167816         BEST            0.60            0.545073        3238            NO             
1          0               2               256             0               2167816         BEST            0.65            0.545073        3238            NO             
1          0               2               256             0               2167816         BEST            0.70            0.545073        3238            NO             
1          0               2               256             0               2167816         BEST            0.75            0.545073        3238            NO             
1          0               2               256             0               2167816         BEST            0.80            0.545073        3238            NO             
1          0               2               256             0               2167816         BEST            0.85            0.545073        3238            NO             
1          0               2               256             0               2167816         BEST            0.90            0.545073        3238            NO             
1          0               2               256             0               2167816         BEST            0.95            0.545073        3238            NO             
41         0               2               256             0               2167816         BEST            0.50            0.999995        3222            OK             
1          0               2               256             0               2167816         BEST            0.55            0.999995        3222            OK             
1          0               2               256             0               2167816         BEST            0.60            0.999995        3222            OK             
1          0               2               256             0               2167816         BEST            0.65            0.999995        3222            OK             
1          0               2               256             0               2167816         BEST            0.70            0.999995        3222            OK             
1          0               2               256             0               2167816         BEST            0.75            0.999995        3222            OK             
1          0               2               256             0               2167816         BEST            0.80            0.999995        3222            OK             
1          0               2               256             0               2167816         BEST            0.85            0.999995        3222            OK             
1          0               2               256             0               2167816         BEST            0.90            0.999995        3222            OK             
1          0               2               256             0               2167816         BEST            0.95            0.999995        3222            OK             
51         0               2               256             0               2167816         BEST            0.50            0.999950        3216            OK             
1          0               2               256             0               2167816         BEST            0.55            0.999950        3216            OK             
1          0               2               256             0               2167816         BEST            0.60            0.999950        3216            OK             
1          0               2               256             0               2167816         BEST            0.65            0.999950        3216            OK             
1          0               2               256             0               2167816         BEST            0.70            0.999950        3216            OK             
1          0               2               256             0               2167816         BEST            0.75            0.999950        3216            OK             
1          0               2               256             0               2167816         BEST            0.80            0.999950        3216            OK             
1          0               2               256             0               2167816         BEST            0.85            0.999950        3216            OK             
1          0               2               256             0               2167816         BEST            0.90            0.999950        3216            OK             
1          0               2               256             0               2167816         BEST            0.95            0.999950        3216            OK             
61         0               2               256             0               2167816         BEST            0.50            0.999860        3437            OK             
1          0               2               256             0               2167816         BEST            0.55            0.999860        3437            OK             
1          0               2               256             0               2167816         BEST            0.60            0.999860        3437            OK             
1          0               2               256             0               2167816         BEST            0.65            0.999860        3437            OK             
1          0               2               256             0               2167816         BEST            0.70            0.999860        3437            OK             
1          0               2               256             0               2167816         BEST            0.75            0.999860        3437            OK             
1          0               2               256             0               2167816         BEST            0.80            0.999860        3437            OK             
1          0               2               256             0               2167816         BEST            0.85            0.999860        3437            OK             
1          0               2               256             0               2167816         BEST            0.90            0.999860        3437            OK             
